80,"[1495, 5324]","[1809.64, 6107.16]"
81,"[1495, 5324]","[1775.5102040816328, 6104.725490196079]"
82,"[1495, 5324]","[1767.127659574468, 6141.679245283019]"
83,"[1495, 5324]","[1863.64, 6104.42]"
84,"[1495, 5324]","[1825.764705882353, 6096.183673469388]"
85,"[1495, 5324]","[1847.5416666666667, 6272.788461538462]"
86,"[1495, 5324]","[1911.6078431372548, 6037.285714285715]"
87,"[1495, 5324]","[1996.22, 6028.6]"
88,"[1495, 5324]","[1942.1458333333333, 6069.115384615385]"
89,"[1495, 5324]","[1974.6274509803923, 6019.326530612245]"
90,"[1495, 5324]","[1864.723404255319, 6134.584905660377]"
91,"[1495, 5324]","[2094.2264150943397, 5924.978723404255]"
92,"[1495, 5324]","[2056.0384615384614, 5916.166666666667]"
93,"[1495, 5324]","[2004.2549019607843, 6073.510204081633]"
94,"[1495, 5324]","[2163.8333333333335, 5906.54347826087]"
95,"[1495, 5324]","[2022.576923076923, 6033.0]"
96,"[1495, 5324]","[1933.4489795918366, 6142.549019607844]"
97,"[1495, 5324]","[1977.3921568627452, 6044.040816326531]"
98,"[1495, 5324]","[2000.5294117647059, 6060.857142857143]"
99,"[1495, 5324]","[1877.9795918367347, 6138.254901960784]"
100,"[1495, 5324]","[1929.26, 6105.4]"
101,"[1495, 5324]","[1862.8958333333333, 6223.096153846154]"
102,"[1495, 5324]","[1891.9148936170213, 6188.679245283019]"
103,"[1495, 5324]","[2030.42, 6086.9]"
104,"[1495, 5324]","[2011.8846153846155, 5947.6875]"
105,"[1495, 5324]","[1853.340425531915, 6231.2830188679245]"
106,"[1495, 5324]","[1862.7659574468084, 6204.11320754717]"
107,"[1495, 5324]","[1936.7142857142858, 6118.568627450981]"
108,"[1495, 5324]","[1912.1020408163265, 6110.333333333333]"
109,"[1495, 5324]","[1947.5208333333333, 6090.0]"
110,"[1495, 5324]","[2072.5576923076924, 5928.3125]"
111,"[1495, 5324]","[2008.84, 6068.7]"
112,"[1495, 5324]","[2004.4489795918366, 6068.862745098039]"
113,"[1495, 5324]","[2007.6666666666667, 6026.102040816327]"
114,"[1495, 5324]","[1991.24, 6069.26]"
115,"[1495, 5324]","[1963.36, 6122.64]"
116,"[1495, 5324]","[2038.3207547169811, 5863.787234042553]"
117,"[1495, 5324]","[2007.0961538461538, 5924.3125]"
118,"[1495, 5324]","[2006.1509433962265, 5916.340425531915]"
119,"[1495, 5324]","[1783.6222222222223, 6161.381818181818]"
120,"[1495, 5324]","[2036.58, 6032.46]"
121,"[1495, 5324]","[1925.061224489796, 6158.470588235294]"
122,"[1495, 5324]","[1933.7708333333333, 6089.884615384615]"
123,"[1495, 5324]","[1837.2173913043478, 6278.555555555556]"
124,"[1495, 5324]","[1881.391304347826, 6300.537037037037]"
125,"[1495, 5324]","[1976.3921568627452, 6009.571428571428]"
126,"[1495, 5324]","[1968.9166666666667, 6193.4807692307695]"
127,"[1495, 5324]","[1929.8333333333333, 6189.192307692308]"
128,"[1495, 5324]","[1932.1632653061224, 6120.941176470588]"
129,"[1495, 5324]","[1940.64, 6096.8]"
130,"[1495, 5324]","[2010.686274509804, 6066.265306122449]"
131,"[1495, 5324]","[1871.4166666666667, 6173.923076923077]"
132,"[1495, 5324]","[2081.4074074074074, 5905.065217391304]"
133,"[1495, 5324]","[2089.962962962963, 2179628.717391304]"
134,"[1495, 5324]","[2022.38, 6076.46]"
135,"[1495, 5324]","[2160.4814814814813, 5818.978260869565]"
136,"[1495, 5324]","[2157.277777777778, 5877.173913043478]"
137,"[1495, 5324]","[2176.7368421052633, 5757.790697674419]"
138,"[1495, 5324]","[2090.3846153846152, 2089121.3541666667]"
139,"[1495, 5324]","[2062.5098039215686, 6035.510204081633]"
140,"[1495, 5324]","[2058.901960784314, 6059.938775510204]"
141,"[1495, 5324]","[2139.9444444444443, 5867.0]"
142,"[1495, 5324]","[2002.7, 2005882.92]"
143,"[1495, 5324]","[1879.2916666666667, 6118.903846153846]"
