42,"[1158, 5807]","[1343.9183673469388, 6746.392156862745]"
43,"[1158, 5807]","[1343.6, 6677.86]"
44,"[1158, 5807]","[1325.137254901961, 6717.040816326531]"
45,"[1158, 5807]","[1302.76, 6730.56]"
46,"[1158, 5807]","[1373.867924528302, 6538.617021276596]"
47,"[1158, 5735]","[1341.9183673469388, 6587.313725490196]"
48,"[1158, 5735]","[1377.576923076923, 6478.791666666667]"
49,"[1158, 5735]","[1369.8125, 6599.307692307692]"
50,"[1158, 5735]","[2001333.2, 6610.82]"
51,"[1158, 5735]","[1306.4489795918366, 6583.6274509803925]"
52,"[1158, 5583]","[1329.34, 6512.38]"
53,"[1158, 5583]","[1311.9183673469388, 6509.78431372549]"
54,"[1158, 5583]","[1339.3207547169811, 6243.106382978724]"
55,"[1158, 5583]","[1375.2692307692307, 6191.708333333333]"
56,"[1158, 5583]","[1358.734693877551, 6304.862745098039]"
57,"[1158, 5583]","[1442.2884615384614, 6141.458333333333]"
58,"[1158, 5583]","[1427.8703703703704, 5890.695652173913]"
59,"[1158, 5583]","[1394.7884615384614, 6109.979166666667]"
60,"[1158, 5583]","[1425.9591836734694, 6184.470588235294]"
61,"[1158, 5583]","[1393.795918367347, 6247.156862745098]"
62,"[1158, 5583]","[1318.276595744681, 6368.320754716981]"
63,"[1158, 5583]","[1355.42, 6280.72]"
64,"[1158, 5583]","[1294.9782608695652, 6370.481481481482]"
65,"[1158, 5583]","[1322.96, 6113.98]"
66,"[1158, 5583]","[1427.1960784313726, 6165.0]"
67,"[1158, 5583]","[1416.811320754717, 6014.936170212766]"
68,"[1158, 5583]","[1393.5, 6096.52]"
69,"[1158, 5583]","[1463.686274509804, 6109.591836734694]"
70,"[1158, 5583]","[1336.0625, 6245.423076923077]"
71,"[1158, 5583]","[1294.9574468085107, 6325.0]"
72,"[1158, 5583]","[1307.1739130434783, 6349.925925925926]"
73,"[1158, 5583]","[1350.6382978723404, 6297.773584905661]"
74,"[1158, 5583]","[1393.38, 6190.02]"
75,"[1158, 5583]","[1438.9811320754718, 6085.531914893617]"
76,"[981, 5583]","[1450.1346153846155, 6144.604166666667]"
77,"[981, 5583]","[1295.9583333333333, 6318.923076923077]"
78,"[981, 5583]","[1261.9787234042553, 6320.811320754717]"
79,"[981, 5583]","[1305.0833333333333, 6246.634615384615]"
80,"[981, 5583]","[1326.2941176470588, 6199.2040816326535]"
81,"[981, 5583]","[1377.6037735849056, 6054.95744680851]"
82,"[981, 5583]","[1324.3584905660377, 6101.510638297872]"
83,"[933, 5583]","[1216.625, 6308.923076923077]"
84,"[933, 5583]","[1189.0833333333333, 6330.2692307692305]"
85,"[933, 5583]","[1156.94, 6254.2]"
86,"[810, 5583]","[1106.98, 6266.66]"
87,"[789, 5583]","[1084.3673469387754, 6386.568627450981]"
88,"[789, 5583]","[1126.26, 6314.68]"
89,"[789, 5583]","[1119.8846153846155, 6218.8125]"
90,"[789, 5583]","[1145.7551020408164, 6330.196078431372]"
91,"[789, 5583]","[1005.2826086956521, 6290.055555555556]"
