74,"[1012, 4020]","[1163.94, 4232.14]"
75,"[1012, 4020]","[1163.94, 4232.14]"
76,"[1012, 4020]","[1163.94, 4232.14]"
77,"[1012, 4020]","[1163.94, 4232.14]"
78,"[1012, 4020]","[1163.94, 4232.14]"
79,"[1012, 4020]","[1163.94, 4232.14]"
80,"[1012, 4020]","[1163.94, 4232.14]"
81,"[1012, 4020]","[1163.94, 4232.14]"
82,"[1012, 4020]","[1163.94, 4232.14]"
83,"[1012, 4020]","[1163.94, 4232.14]"
84,"[1012, 4020]","[1163.94, 4232.14]"
85,"[1012, 4020]","[1163.94, 4232.14]"
86,"[1012, 4020]","[1163.94, 4232.14]"
87,"[1012, 4020]","[1163.94, 4232.14]"
88,"[1012, 4020]","[1163.94, 4232.14]"
89,"[1012, 4020]","[1163.94, 4232.14]"
90,"[1012, 4020]","[1163.94, 4232.14]"
91,"[1012, 4020]","[1163.94, 4232.14]"
92,"[1012, 4020]","[1163.94, 4232.14]"
93,"[1012, 4020]","[1163.94, 4232.14]"
94,"[1012, 4020]","[1163.94, 4232.14]"
95,"[1012, 4020]","[1163.94, 4232.14]"
96,"[1012, 4020]","[1163.94, 4232.14]"
97,"[1012, 4020]","[1163.94, 4232.14]"
98,"[1012, 4020]","[1163.94, 4232.14]"
99,"[1012, 4020]","[1163.94, 4232.14]"
100,"[1012, 4020]","[1163.94, 4232.14]"
101,"[1012, 4020]","[1163.94, 4232.14]"
102,"[1012, 4020]","[1163.94, 4232.14]"
103,"[1012, 4020]","[1163.94, 4232.14]"
104,"[1012, 4020]","[1163.94, 4232.14]"
105,"[1012, 4020]","[1163.94, 4232.14]"
106,"[1012, 4020]","[1163.94, 4232.14]"
107,"[1012, 4020]","[1163.94, 4232.14]"
108,"[1012, 4020]","[1163.94, 4232.14]"
109,"[1012, 4020]","[1163.94, 4232.14]"
110,"[1012, 4020]","[1163.94, 4232.14]"
111,"[1012, 4020]","[1163.94, 4232.14]"
112,"[1012, 4020]","[1163.94, 4232.14]"
113,"[1012, 4020]","[1163.94, 4232.14]"
114,"[1012, 4020]","[1163.94, 4232.14]"
115,"[1012, 4020]","[1163.94, 4232.14]"
116,"[1012, 4020]","[1163.94, 4232.14]"
117,"[1012, 4020]","[1163.94, 4232.14]"
118,"[1012, 4020]","[1163.94, 4232.14]"
119,"[1012, 4020]","[1163.94, 4232.14]"
120,"[1012, 4020]","[1163.94, 4232.14]"
121,"[1012, 4020]","[1163.94, 4232.14]"
122,"[1012, 4020]","[1163.94, 4232.14]"
123,"[1012, 4020]","[1163.94, 4232.14]"
124,"[1012, 4020]","[1163.94, 4232.14]"
125,"[1012, 4020]","[1163.94, 4232.14]"
126,"[1012, 4020]","[1163.94, 4232.14]"
127,"[1012, 4020]","[1163.94, 4232.14]"
128,"[1012, 4020]","[1163.94, 4232.14]"
129,"[1012, 4020]","[1163.94, 4232.14]"
130,"[1012, 4020]","[1163.94, 4232.14]"
131,"[1012, 4020]","[1163.94, 4232.14]"
132,"[1012, 4020]","[1163.94, 4232.14]"
133,"[1012, 4020]","[1163.94, 4232.14]"
134,"[1012, 4020]","[1163.94, 4232.14]"
135,"[1012, 4020]","[1163.94, 4232.14]"
136,"[1012, 4020]","[1163.94, 4232.14]"
137,"[1012, 4020]","[1163.94, 4232.14]"
138,"[1012, 4020]","[1163.94, 4232.14]"
139,"[1012, 4020]","[1163.94, 4232.14]"
140,"[1012, 4020]","[1163.94, 4232.14]"
141,"[1012, 4020]","[1163.94, 4232.14]"
142,"[1012, 4020]","[1163.94, 4232.14]"
143,"[1012, 4020]","[1163.94, 4232.14]"
