378,"[1256, 3874]","[1256.0, 4317.0]"
379,"[1256, 3874]","[1256.0, 4317.0]"
380,"[1256, 3874]","[1256.0, 4317.0]"
381,"[1256, 3874]","[1256.0, 4317.0]"
382,"[1256, 3874]","[1256.0, 4317.0]"
383,"[1256, 3874]","[1256.0, 4317.0]"
384,"[1256, 3874]","[1256.0, 4317.0]"
385,"[1256, 3874]","[1256.0, 4317.0]"
386,"[1256, 3874]","[1256.0, 4317.0]"
387,"[1256, 3874]","[1256.0, 4317.0]"
388,"[1256, 3874]","[1256.0, 4317.0]"
389,"[1256, 3874]","[1256.0, 4317.0]"
390,"[1256, 3874]","[1256.0, 4317.0]"
391,"[1256, 3874]","[1256.0, 4317.0]"
392,"[1256, 3874]","[1256.0, 4317.0]"
393,"[1256, 3874]","[1256.0, 4317.0]"
394,"[1256, 3874]","[1256.0, 4317.0]"
395,"[1256, 3874]","[1256.0, 4317.0]"
396,"[1256, 3874]","[1256.0, 4317.0]"
397,"[1256, 3874]","[1256.0, 4317.0]"
398,"[1256, 3874]","[1256.0, 4317.0]"
399,"[1256, 3874]","[1256.0, 4317.0]"
400,"[1256, 3874]","[1256.0, 4317.0]"
401,"[1256, 3874]","[1256.0, 4317.0]"
402,"[1256, 3874]","[1256.0, 4317.0]"
403,"[1256, 3874]","[1256.0, 4317.0]"
404,"[1256, 3874]","[1256.0, 4317.0]"
405,"[1256, 3874]","[1256.0, 4317.0]"
406,"[1256, 3874]","[1256.0, 4317.0]"
407,"[1256, 3874]","[1256.0, 4317.0]"
408,"[1256, 3874]","[1256.0, 4317.0]"
409,"[1256, 3874]","[1256.0, 4317.0]"
410,"[1256, 3874]","[1256.0, 4317.0]"
411,"[1256, 3874]","[1256.0, 4317.0]"
412,"[1256, 3874]","[1256.0, 4317.0]"
413,"[1256, 3874]","[1256.0, 4317.0]"
414,"[1256, 3874]","[1256.0, 4317.0]"
415,"[1256, 3874]","[1256.0, 4317.0]"
416,"[1256, 3874]","[1256.0, 4317.0]"
417,"[1256, 3874]","[1256.0, 4317.0]"
418,"[1256, 3874]","[1256.0, 4317.0]"
419,"[1256, 3874]","[1256.0, 4317.0]"
420,"[1256, 3874]","[1256.0, 4317.0]"
421,"[1256, 3874]","[1256.0, 4317.0]"
422,"[1256, 3874]","[1256.0, 4317.0]"
423,"[1256, 3874]","[1256.0, 4317.0]"
424,"[1256, 3874]","[1256.0, 4317.0]"
425,"[1256, 3874]","[1256.0, 4317.0]"
426,"[1256, 3874]","[1256.0, 4317.0]"
427,"[1256, 3874]","[1256.0, 4317.0]"
428,"[1256, 3874]","[1256.0, 4317.0]"
429,"[1256, 3874]","[1256.0, 4317.0]"
430,"[1256, 3874]","[1256.0, 4317.0]"
431,"[1256, 3874]","[1256.0, 4317.0]"
432,"[1256, 3874]","[1256.0, 4317.0]"
433,"[1256, 3874]","[1256.0, 4317.0]"
